Units are S.I. units (second, meters, Newtons, ...)
Angles are in degrees.
name walk
datarows 101 
datacolumns 25 
range 0  2.0
endheader
time Pelvis_PX Pelvis_PY Pelvis_PZ Pelvis_X Pelvis_Y Pelvis_Z FemurR_X FemurR_Y FemurR_Z FemurL_X FemurL_Y FemurL_Z TibiaR_X TibiaR_Y TibiaR_Z TibiaL_X TibiaL_Y TibiaL_Z TalusR_X TalusR_Y TalusR_Z TalusL_X TalusL_Y TalusL_Z
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.54404 -1.23395 34.57660 3.50898 -10.91980 1.05869 -0.28763 -23.39200 1.91626 1.37803 -3.94847 4.80604 3.73839 6.98387 -0.20889 0.51750 9.55945 8.30655
1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.53586 -1.08149 34.63900 3.29018 -11.37100 0.60961 -0.08986 -22.81720 3.40318 1.29955 -3.44398 5.54879 3.41202 6.87214 -0.28597 1.18816 9.88444 7.95585
2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.46864 -0.87793 34.46310 3.00713 -11.76900 0.14979 0.06649 -22.34580 4.52462 1.18907 -3.05759 6.35596 2.85283 6.64933 -1.09335 1.90142 10.29630 7.47651
3.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.33987 -0.52822 34.09150 2.63732 -12.01820 -0.23633 0.17847 -22.06630 5.08779 1.04282 -2.86281 7.26838 2.24888 6.23319 -2.53266 2.63776 10.78930 6.82714
4.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.16314 -0.02809 33.66480 2.17791 -12.06020 -0.45441 0.32799 -21.85800 5.46129 0.86110 -2.89688 8.35620 1.81605 5.57687 -3.92262 3.35224 11.31140 5.97601
5.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.05256 0.45754 33.35100 1.64220 -11.92430 -0.45403 0.60947 -21.42990 6.23042 0.66432 -3.16146 9.70231 1.50615 4.74171 -4.66307 3.97014 11.82610 4.90595
6.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.32626 0.68805 33.19860 1.04797 -11.72050 -0.24362 0.98788 -20.62770 7.50666 0.48386 -3.65656 11.36980 1.12252 3.95541 -4.66734 4.41024 12.37920 3.58732
7.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.67936 0.53575 33.05400 0.41136 -11.56840 0.13795 1.31533 -19.57220 8.89966 0.33681 -4.41953 13.39100 0.46340 3.49558 -4.24531 4.60227 13.09330 1.96777
8.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.10189 0.05851 32.68320 -0.26360 -11.52930 0.65331 1.48774 -18.42380 10.02330 0.22962 -5.45100 15.78080 -0.49902 3.39678 -3.67257 4.47700 14.04490 0.01870
9.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.55266 -0.55356 31.96540 -0.96547 -11.60120 1.28807 1.50129 -17.19850 10.73120 0.15520 -6.60137 18.55690 -1.54028 3.35475 -3.03719 3.99719 15.14790 -2.19038
